BL DATE,FOB
5/14/2019,1000
5/15/2019,1000
5/16/2019,1000
5/17/2019,1000
5/18/2019,1000
5/19/2019,1000
5/20/2019,1060
5/21/2019,1000
5/22/2019,1000
5/23/2019,1005
5/24/2019,1005
5/25/2019,1000
5/26/2019,1000
5/27/2019,1000
5/28/2019,1000
5/29/2019,1000
5/30/2019,1000
5/31/2019,1000
6/1/2019,1000
6/2/2019,1000
6/3/2019,1000
6/4/2019,1000
6/5/2019,1000
6/6/2019,1000
6/7/2019,1000
6/8/2019,1000
6/9/2019,1000
6/10/2019,1000
6/11/2019,1000
6/12/2019,1000
6/13/2019,1000
6/14/2019,1060
6/15/2019,1000
6/16/2019,1050
6/17/2019,1000
6/18/2019,1000
6/19/2019,1000
6/20/2019,1000
6/21/2019,1005
6/22/2019,980
6/23/2019,1000
6/24/2019,1005
6/25/2019,1000
6/26/2019,980
6/27/2019,980
6/28/2019,980
6/29/2019,1010
6/30/2019,980
7/1/2019,980
7/2/2019,980
7/3/2019,980
7/4/2019,980
7/5/2019,1000
7/6/2019,980
7/7/2019,980
7/8/2019,980
7/9/2019,980
7/10/2019,980
7/11/2019,940
7/12/2019,980
7/13/2019,980
7/14/2019,980
7/15/2019,1000
7/16/2019,980
7/17/2019,940
7/18/2019,940
7/19/2019,940
7/20/2019,940
7/21/2019,980
7/22/2019,940
7/23/2019,980
7/24/2019,940
7/25/2019,980
7/26/2019,940
7/27/2019,1000
7/28/2019,980
7/29/2019,940
7/30/2019,940
7/31/2019,940
8/1/2019,940
8/2/2019,940
8/3/2019,940
8/4/2019,940
8/5/2019,940
8/6/2019,940
8/7/2019,1000
8/8/2019,940
8/9/2019,940
8/10/2019,940
8/11/2019,940
8/12/2019,940
8/13/2019,940
8/14/2019,940
8/15/2019,940
8/16/2019,940
8/17/2019,940
8/18/2019,940
8/19/2019,940
8/20/2019,940
8/21/2019,940
8/22/2019,940
8/23/2019,940
8/24/2019,940
8/25/2019,940
8/26/2019,940
8/27/2019,940
8/28/2019,940
8/29/2019,875
8/30/2019,875
8/31/2019,940
9/1/2019,940
9/2/2019,875
9/3/2019,875
9/4/2019,875
9/5/2019,940
9/6/2019,875
9/7/2019,875
9/8/2019,875
9/9/2019,875
9/10/2019,875
9/11/2019,875
9/12/2019,875
9/13/2019,875
9/14/2019,905
9/15/2019,905
9/16/2019,895
9/17/2019,895
9/18/2019,895
9/19/2019,905
9/20/2019,875
9/21/2019,1010
9/22/2019,905
9/23/2019,875
9/24/2019,895
9/25/2019,875
9/26/2019,895
9/27/2019,875
9/28/2019,875
9/29/2019,875
9/30/2019,895
10/1/2019,905
10/2/2019,905
10/3/2019,875
10/4/2019,895
10/5/2019,875
10/6/2019,875
10/7/2019,875
10/8/2019,875
10/9/2019,905
10/10/2019,895
10/11/2019,875
10/12/2019,900
10/13/2019,895
10/14/2019,875
10/15/2019,875
10/16/2019,875
10/17/2019,900
10/18/2019,930
10/19/2019,895
10/20/2019,900
10/21/2019,910
10/22/2019,900
10/23/2019,910
10/24/2019,900
10/25/2019,875
10/26/2019,900
10/27/2019,875
10/28/2019,900
10/29/2019,900
10/30/2019,875
10/31/2019,900
11/1/2019,956
11/2/2019,900
11/3/2019,905
11/4/2019,875
11/5/2019,900
11/6/2019,900
11/7/2019,875
11/8/2019,930
11/9/2019,900
11/10/2019,875
11/11/2019,920
11/12/2019,900
11/13/2019,915
11/14/2019,900
11/15/2019,900
11/16/2019,900
11/17/2019,875
11/18/2019,900
11/19/2019,905
11/20/2019,865
11/21/2019,920
11/22/2019,910
11/23/2019,910
11/24/2019,875
11/25/2019,910
11/26/2019,900
11/27/2019,900
11/28/2019,910
11/29/2019,910
11/30/2019,910
12/1/2019,875
12/2/2019,910
12/3/2019,875
12/4/2019,910
12/5/2019,910
12/6/2019,875
12/7/2019,910
12/8/2019,910
12/9/2019,875
12/10/2019,910
12/11/2019,910
12/12/2019,910
12/13/2019,910
12/14/2019,910
12/15/2019,875
12/16/2019,910
12/17/2019,910
12/18/2019,925
12/19/2019,910
12/20/2019,910
12/21/2019,875
12/22/2019,910
12/23/2019,925
12/24/2019,925
12/25/2019,925
12/26/2019,910
12/27/2019,910
12/28/2019,910
12/29/2019,875
12/30/2019,875
12/31/2019,925
1/1/2020,875
1/2/2020,925
1/3/2020,925
1/4/2020,910
1/5/2020,875
1/6/2020,910
1/7/2020,910
1/8/2020,910
1/9/2020,910
1/10/2020,910
1/11/2020,925
1/12/2020,875
1/13/2020,910
1/14/2020,875
1/15/2020,925
1/16/2020,935
1/17/2020,935
1/18/2020,935
1/19/2020,875
1/20/2020,935
1/21/2020,935
1/22/2020,910
1/23/2020,875
1/24/2020,935
1/25/2020,910
1/26/2020,875
1/27/2020,935
1/28/2020,910
1/29/2020,910
1/30/2020,935
1/31/2020,935
2/1/2020,935
2/2/2020,935
2/3/2020,935
2/4/2020,935
2/5/2020,935
2/6/2020,925
2/7/2020,935
2/8/2020,935
2/9/2020,935
2/10/2020,875
2/11/2020,935
2/12/2020,935
2/13/2020,935
2/14/2020,950
2/15/2020,935
2/16/2020,875
2/17/2020,950
2/18/2020,875
2/19/2020,935
2/20/2020,935
2/21/2020,950
2/22/2020,950
2/23/2020,950
2/24/2020,950
2/25/2020,875
2/26/2020,875
2/27/2020,950
2/28/2020,875
2/29/2020,935
3/1/2020,950
3/2/2020,950
3/3/2020,950
3/4/2020,950
3/5/2020,950
3/6/2020,950
3/7/2020,950
3/8/2020,950
3/9/2020,950
3/10/2020,950
3/11/2020,950
3/12/2020,950
3/13/2020,950
3/14/2020,1000
3/15/2020,1000
3/16/2020,950
3/17/2020,950
3/18/2020,950
3/19/2020,1000
3/20/2020,1000
3/21/2020,950
3/22/2020,950
3/23/2020,1000
3/24/2020,1000
3/25/2020,1000
3/26/2020,950
3/27/2020,1000
3/28/2020,950
3/29/2020,1000
3/30/2020,950
3/31/2020,950
4/1/2020,950
4/2/2020,1000
4/3/2020,1000
4/4/2020,1000
4/5/2020,1000
4/6/2020,1000
4/7/2020,1000
4/8/2020,1000
4/9/2020,1000
4/10/2020,1000
4/11/2020,1000
4/12/2020,1000
4/13/2020,1000
4/14/2020,1000
4/15/2020,1000
4/16/2020,1000
4/17/2020,1050
4/18/2020,1050
4/19/2020,1050
4/20/2020,1000
4/21/2020,1000
4/22/2020,1000
4/23/2020,1000
4/24/2020,1010
4/25/2020,1050
4/26/2020,1050
4/27/2020,1000
4/28/2020,1000
4/29/2020,1000
4/30/2020,1050
5/1/2020,1000
5/2/2020,1000
5/3/2020,1050
5/4/2020,1000
5/5/2020,1000
5/6/2020,1000
5/7/2020,1000
5/8/2020,1010
5/9/2020,1000
5/10/2020,1050
5/11/2020,1050
5/12/2020,1000
5/13/2020,1000
5/14/2020,1050
5/15/2020,1000
5/16/2020,1050
5/17/2020,1050
5/18/2020,1000
5/19/2020,1050
5/20/2020,1000
5/21/2020,1050
5/22/2020,1050
